ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9318722,HW463150,09/22/2013 23:55,042XX W 30TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,FALSE,FALSE,1031,10,22,30,15,1148475,1884331,2013,09/25/2013 0:43,41.83854194,-87.73067132,"(41.83854194469447, -87.73067132338618)"
9318724,HW463153,09/22/2013 23:45,065XX S ASHLAND AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,TRUE,TRUE,725,7,15,67,08B,1166756,1861364,2013,09/25/2013 0:43,41.77514632,-87.66424522,"(41.77514632385652, -87.66424521593181)"
9318716,HW463144,09/22/2013 23:44,041XX W NORTH AVE,313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,ALLEY,FALSE,FALSE,2534,25,30,23,3,1148503,1910352,2013,09/30/2013 0:39,41.90994606,-87.72989729,"(41.90994605580251, -87.72989728670389)"
9319489,HW463411,09/22/2013 23:41,060XX N BROADWAY,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,GROCERY FOOD STORE,FALSE,FALSE,2433,24,48,77,11,1167254,1940104,2013,09/26/2013 0:40,41.99120416,-87.66015536,"(41.99120415808476, -87.66015535707466)"
9318745,HW463152,09/22/2013 23:40,001XX W 103RD ST,1330,CRIMINAL TRESPASS,TO LAND,SMALL RETAIL STORE,TRUE,FALSE,511,5,9,49,26,1176915,1836691,2013,09/25/2013 0:43,41.70721763,-87.6277454,"(41.70721762992003, -87.62774539691563)"
9318749,HW463147,09/22/2013 23:40,067XX S LOOMIS BLVD,420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,FALSE,FALSE,725,7,17,67,04B,1168117,1860074,2013,09/25/2013 0:43,41.77157723,-87.65929303,"(41.771577234881406, -87.65929302745796)"
9321518,HW465331,09/22/2013 23:30,004XX W 77TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,621,6,17,69,08B,1174867,1853838,2013,09/27/2013 0:40,41.75431709,-87.63473551,"(41.75431708531455, -87.63473550887535)"
9318835,HW463292,09/22/2013 23:30,027XX N OAK PARK AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,2512,25,36,18,14,1130656,1917560,2013,09/25/2013 0:43,41.93005154,-87.79529487,"(41.93005153753391, -87.79529486880026)"
9318766,HW463136,09/22/2013 23:30,064XX S COTTAGE GROVE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,312,3,20,42,08B,1182629,1862500,2013,09/29/2013 0:40,41.77790999,-87.60602208,"(41.777909994027794, -87.60602207908181)"
9319172,HW463452,09/22/2013 23:30,039XX W 82ND ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,DRIVEWAY - RESIDENTIAL,FALSE,FALSE,834,8,18,70,14,1151716,1849960,2013,09/25/2013 0:43,41.74415973,-87.71967863,"(41.744159731966874, -87.71967863036404)"
9318743,HW463160,09/22/2013 23:29,099XX S STATE ST,143C,WEAPONS VIOLATION,UNLAWFUL POSS AMMUNITION,RESIDENCE PORCH/HALLWAY,TRUE,FALSE,511,5,9,49,15,1177978,1838805,2013,09/25/2013 0:43,41.71299477,-87.62378892,"(41.71299476709727, -87.62378891803156)"
9318784,HW463131,09/22/2013 23:20,079XX S CARPENTER ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,612,6,17,71,08B,1170651,1852200,2013,09/26/2013 0:40,41.7499151,-87.65023344,"(41.74991510177521, -87.6502334396672)"
9318876,HW463307,09/22/2013 23:15,041XX W CRYSTAL ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2534,25,37,23,14,1148478,1907972,2013,09/25/2013 0:43,41.90341558,-87.73005062,"(41.90341557887569, -87.73005061809111)"
9320428,HW463123,09/22/2013 23:15,012XX S PRAIRIE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,132,1,2,33,08B,1178147,1894604,2013,09/26/2013 0:40,41.86610884,-87.62147797,"(41.86610884063005, -87.62147796773954)"
9318731,HW463142,09/22/2013 23:15,052XX S RACINE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,934,9,16,61,18,1169170,1870144,2013,09/25/2013 0:43,41.7991878,-87.65514192,"(41.79918779901303, -87.65514192301518)"
